Symbol,Entry,Exit,Entry_Price,Exit_Price,Type,PnL,PnL_%,Reason
ARML3<XBSP>,2023-02-22,2023-02-24,13.02199898,12.50939267,long,-580990.6362516247,-4.032431630356519,Stop Loss
BBAS3<XBSP>,2023-02-14,2023-02-27,16.40719689,16.08240567,long,-238107.02121877111,-2.0774880780422547,Below VWAP
GFSA3<XBSP>,2023-02-27,2023-03-01,144.4443813,131.4988943,short,1097476.8533150703,9.863627869957888,Take Profit (Short)
ZAMP3<XBSP>,2023-02-23,2023-03-02,4.684807199,5.06197388,short,-799789.5474818163,-6.981037080938654,Stop Loss (Short)
HAPV3<XBSP>,2023-03-01,2023-03-03,45.3,40.2,short,1350422.9639999978,12.136909055143906,Take Profit (Short)
ZAMP3<XBSP>,2023-03-02,2023-03-03,5.06197388,4.813837906,long,-554339.9399828706,-4.996963810432056,Stop Loss
MDIA3<XBSP>,2023-03-03,2023-03-07,29.09940084,30.26755564,short,-318162.00800756924,-2.984515166007555,Stop Loss (Short)
TTEN3<XBSP>,2023-02-10,2023-03-08,11.93080712,12.74789946,long,738730.0702866688,6.74185046840565,Take Profit
BEEF3<XBSP>,2023-02-24,2023-03-08,9.618959532,9.927901809,short,-304670.35027302615,-2.189906494401787,Stop Loss (Short)
FESA4<XBSP>,2023-03-07,2023-03-09,10.55536893,11.0269491,short,-366009.27745540626,-3.4333471292377937,Stop Loss (Short)
ISAE4<XBSP>,2023-02-24,2023-03-10,17.93050806,17.99615752,short,69676.23724196851,0.6275913490526217,Above VWAP (Short)
HAPV3<XBSP>,2023-03-09,2023-03-10,29.1,37.05,short,-2841519.635999998,-26.058997652342537,Stop Loss (Short)
SIMH3<XBSP>,2023-03-08,2023-03-14,8.085185696,7.632730049,long,-617053.7925244048,-5.690416636586005,Stop Loss
NATU3<XBSP>,2023-03-14,2023-03-15,11.73108799,12.50868056,short,-582722.3616540935,-5.572750355133619,Stop Loss (Short)
GGPS3<XBSP>,2023-03-03,2023-03-16,11.74351294,11.53682711,long,-245462.3768515978,-1.858141877333276,Below VWAP
RECV3<XBSP>,2023-03-15,2023-03-16,17.13668399,15.99475278,short,793427.7035490349,7.587787110211458,Take Profit (Short)
ECOR3<XBSP>,2023-03-08,2023-03-17,4.141810644,4.749276205,long,1972984.501824189,14.55211454922017,Take Profit
EMBJ3<XBSP>,2023-03-10,2023-03-17,18.98044238,20.14923805,long,629251.3309130054,6.051842934226402,Take Profit
PLPL3<XBSP>,2023-03-16,2023-03-17,4.04196973,4.32827592,long,904064.9178954437,6.9763569959235685,Take Profit
AZZA3<XBSP>,2023-03-10,2023-03-20,64.92645168,60.44681003,short,1028258.4950385634,7.821349829268473,Take Profit (Short)
MDIA3<XBSP>,2023-03-20,2023-03-21,23.74230214,25.11205034,short,-522472.95460889675,-4.7220106610007955,Stop Loss (Short)
JHSF3<XBSP>,2023-03-17,2023-03-22,3.134156999,2.932213894,short,1216748.0116081927,7.369602920541928,Take Profit (Short)
PLPL3<XBSP>,2023-03-17,2023-03-22,4.32827592,4.597740568,long,637669.4133074693,6.119561355954884,Take Profit
VIVA3<XBSP>,2023-03-21,2023-03-22,20.49661925,20.4685801,long,-25941.54355604574,-0.23656233926494108,Below VWAP
POSI3<XBSP>,2023-03-22,2023-03-23,6.353845891,6.116001392,long,-504931.35971456766,-3.839476038379392,Stop Loss
MYPK3<XBSP>,2023-03-22,2023-03-24,10.00017855,10.6870033,long,711174.095275661,6.761363506124349,Take Profit
ENGI11<XBSP>,2023-03-17,2023-03-27,32.39010718,33.95566376,short,-500064.33937246725,-3.795485709494737,Stop Loss (Short)
VBBR3<XBSP>,2023-03-22,2023-03-29,11.38071682,11.82467577,short,-477603.5102839526,-2.8722527539106966,Stop Loss (Short)
CMIG4<XBSP>,2023-03-27,2023-03-30,5.89488682,6.254614811,long,683647.3095820528,5.996376781249963,Take Profit
LIGT3<XBSP>,2023-03-29,2023-03-30,1.95,2.05,short,-513344.63599999994,-4.087331810104087,Stop Loss (Short)
ANIM3<XBSP>,2023-03-30,2023-04-05,2.166452791,1.976564499,short,1450287.6637238115,9.668257642391136,Take Profit (Short)
ALPA4<XBSP>,2023-04-05,2023-04-06,7.022703568,7.376789462,short,-504412.9333517663,-4.001996835732852,Stop Loss (Short)
RECV3<XBSP>,2023-03-16,2023-04-11,15.99475278,16.57343414,short,-271068.1837423332,-2.5920247619686276,Stop Loss (Short)
COGN3<XBSP>,2023-03-24,2023-04-11,1.801212393,1.918047791,short,-601902.816554876,-5.4321648125525295,Stop Loss (Short)
ZAMP3<XBSP>,2023-04-06,2023-04-11,3.870921203,4.18853525,short,-899145.1209793556,-7.133790291220151,Stop Loss (Short)
SMFT3<XBSP>,2023-03-23,2023-04-12,13.01986922,13.4535506,short,-254845.94528779387,-2.3078412204886054,Stop Loss (Short)
VVEO3<XBSP>,2023-04-11,2023-04-12,15.56659545,16.4227582,short,-755408.7392992452,-4.455445546144558,Stop Loss (Short)
MOTV3<XBSP>,2023-03-30,2023-04-13,11.54088839,12.53275591,long,1006743.493351996,8.485891650891146,Take Profit
SAPR11<XBSP>,2023-04-11,2023-04-13,15.72166306,16.86598835,long,769124.1854979526,7.171481455150914,Take Profit
AMER3<XBSP>,2023-04-12,2023-04-13,120.0,115.0,long,-483496.9600000009,-4.26240426240427,Stop Loss
MRVE3<XBSP>,2023-04-13,2023-04-17,7.64,7.34,long,-518773.6396399997,-4.022678891788837,Stop Loss
FLRY3<XBSP>,2023-04-11,2023-04-18,12.07259813,11.98951073,long,-105590.77100502327,-0.7874438639729892,Below VWAP
NEOE3<XBSP>,2023-04-18,2023-04-19,13.13484608,13.04722202,long,-85900.09095928818,-0.7663450886222145,Below VWAP
IRBR3<XBSP>,2023-04-13,2023-04-20,24.45,26.0,long,1005065.9021000005,6.233235067590899,Take Profit
ORVR3<XBSP>,2023-04-19,2023-04-20,33.6,35.65,short,-570347.2119999994,-5.0506836397925445,Stop Loss (Short)
BEEF3<XBSP>,2023-04-13,2023-04-25,7.848803785,7.334340663,short,778439.9205277562,7.479870466492092,Take Profit (Short)
SRNA3<XBSP>,2023-04-20,2023-04-26,8.61,8.88,short,-249521.58870000206,-2.1147410908338395,Stop Loss (Short)
BRAV3<XBSP>,2023-04-17,2023-04-27,26.96210254,30.08668568,short,-1132806.142641561,-10.483956726953005,Stop Loss (Short)
BBAS3<XBSP>,2023-04-12,2023-05-02,17.36637174,17.00863749,long,-306030.3434540406,-2.1577673301847486,Below VWAP
IFCM3<XBSP>,2023-04-26,2023-05-02,394.6376565,335.9312283,short,1819374.7975708358,15.71884460178132,Take Profit (Short)
KEPL3<XBSP>,2023-04-27,2023-05-03,6.099079379,5.719947418,short,815886.7992698122,7.144768524457579,Take Profit (Short)
VBBR3<XBSP>,2023-05-02,2023-05-04,10.52694962,11.20996338,short,-619474.1542300098,-5.433901027488304,Stop Loss (Short)
BEEF3<XBSP>,2023-04-25,2023-05-05,7.334340663,7.655869815,short,-385895.8253462147,-3.3503824277213767,Stop Loss (Short)
BRKM5<XBSP>,2023-05-05,2023-05-08,23.76,25.3,long,722991.7516799998,6.375106375106373,Take Profit
NEOE3<XBSP>,2023-04-20,2023-05-10,13.31009419,14.15808726,long,915985.2710687742,6.2647875723508895,Take Profit
YDUQ3<XBSP>,2023-05-10,2023-05-11,10.62074053,11.47860543,long,979961.5680743381,7.969291400326604,Take Profit
EMBJ3<XBSP>,2023-05-04,2023-05-12,16.90258343,17.53193494,short,-308035.6720824931,-2.6964398527011086,Stop Loss (Short)
BRKM5<XBSP>,2023-05-08,2023-05-12,25.3,24.32,long,-455925.66659999825,-3.9695482383229272,Stop Loss
YDUQ3<XBSP>,2023-05-11,2023-05-16,11.47860543,11.0589976,long,-468710.36625502445,-3.7518127291387344,Stop Loss
ZAMP3<XBSP>,2023-05-12,2023-05-16,4.128982616,3.771666813,short,1114931.0359995943,9.558263511281327,Take Profit (Short)
VULC3<XBSP>,2023-05-03,2023-05-17,8.772819091,9.355195499,long,738262.2351412177,6.531886186260459,Take Profit
AMBP3<XBSP>,2023-05-16,2023-05-17,1.9,1.963,short,-257868.6000000015,-2.292860865033885,Stop Loss (Short)
POSI3<XBSP>,2023-05-12,2023-05-18,5.791535616,6.028669358,short,-447850.9749962054,-3.06384969620184,Stop Loss (Short)
ONCO3<XBSP>,2023-05-17,2023-05-19,9.479635512,10.45165905,long,1375168.1851504594,10.143663424090446,Take Profit
ZAMP3<XBSP>,2023-05-16,2023-05-23,3.771666813,3.890772081,short,-301111.0426696427,-2.136529448220771,Stop Loss (Short)
MILS3<XBSP>,2023-05-17,2023-05-23,9.113542764,9.745174441,long,739899.5311094057,6.823869203254246,Take Profit
USIM5<XBSP>,2023-05-23,2023-05-24,7.240282202,7.143616218,long,-171046.33917108364,-1.4336798047676613,Below VWAP
LJQQ3<XBSP>,2023-05-18,2023-05-25,3.837817802,4.389956684,long,1655393.2885542363,14.27251993572135,Take Profit
SMFT3<XBSP>,2023-05-24,2023-05-25,15.90479318,16.92300163,long,748945.3476636689,6.295601226205546,Take Profit
IFCM3<XBSP>,2023-05-25,2023-05-26,437.0367436,515.3119812,long,2091823.8098148927,17.792655092441063,Take Profit
PORT3<XBSP>,2023-05-02,2023-05-29,8.859629357,9.489958718,long,989950.3219893072,7.007616884894947,Take Profit
IFCM3<XBSP>,2023-05-26,2023-05-29,515.3119812,600.1101553,long,1989412.6774521526,16.339356841514192,Take Profit
PRIO3<XBSP>,2023-05-25,2023-05-30,35.5728634,34.07526882,long,-632914.5181471743,-4.3056298009240805,Stop Loss
IFCM3<XBSP>,2023-05-29,2023-05-30,600.1101553,512.050513,long,-2302405.111511685,-14.759153880631878,Stop Loss
OIBR3<XBSP>,2023-05-23,2023-05-31,10.60153444,9.907976109,short,1126456.1849507038,7.467382281658049,Take Profit (Short)
MYPK3<XBSP>,2023-05-29,2023-05-31,11.04141923,11.72298832,long,756961.3696429357,6.066772749077499,Take Profit
IFCM3<XBSP>,2023-05-30,2023-05-31,512.050513,489.2202353,long,-703934.5919194408,-4.5540446912502555,Stop Loss
SEQL3<XBSP>,2023-05-30,2023-05-31,30.5494478,28.28652574,long,-927211.5415879078,-7.499907502329808,Stop Loss
MOTV3<XBSP>,2023-05-31,2023-06-01,12.61473457,12.8843199,short,-150802.9510418661,-1.1258089137710818,Above VWAP (Short)
VIVT3<XBSP>,2023-05-31,2023-06-02,17.31411364,17.95469873,short,-561007.5353525765,-2.6730550882740123,Stop Loss (Short)
RADL3<XBSP>,2023-05-31,2023-06-02,27.3077538,26.59445561,long,-449721.10967744887,-2.709362634294283,Below VWAP
ONCO3<XBSP>,2023-05-19,2023-06-06,10.45165905,9.556627475,long,-1061594.8819828574,-8.654881020009972,Stop Loss
CMIG4<XBSP>,2023-05-31,2023-06-06,6.506294617,6.773219524,short,-328357.95113627426,-3.0718456405623025,Stop Loss (Short)
PORT3<XBSP>,2023-06-02,2023-06-07,9.489958718,9.279848931,long,-377758.77658029087,-2.3117104285874324,Below VWAP
SBFG3<XBSP>,2023-06-06,2023-06-07,11.25727955,12.26874893,long,1053241.3455916569,8.876148834399661,Take Profit
SRNA3<XBSP>,2023-06-02,2023-06-09,9.84,10.64,long,1048451.4516000003,8.022059241571439,Take Profit
GFSA3<XBSP>,2023-06-06,2023-06-12,112.5916698,125.5371568,long,1689283.8425815366,11.386344369630308,Take Profit
CASH3<XBSP>,2023-06-01,2023-06-13,3.80483842,3.678010472,long,-381944.6634659413,-3.429903447407473,Stop Loss
ENEV3<XBSP>,2023-06-07,2023-06-13,12.14,11.87,long,-283601.7673400007,-2.3217309872993623,Below VWAP
PORT3<XBSP>,2023-06-12,2023-06-14,10.50548936,11.19710074,long,866778.7619579155,6.4768564495964025,Take Profit
SBFG3<XBSP>,2023-06-07,2023-06-16,12.26874893,13.3457765,long,1324136.1994002946,8.66995593448872,Take Profit
AMER3<XBSP>,2023-06-13,2023-06-16,123.0,119.0,long,-510509.8599999994,-3.3486838364887106,Stop Loss
NEOE3<XBSP>,2023-06-14,2023-06-16,16.82239013,17.91357219,long,804194.7411264703,6.380106365340328,Take Profit
VAMO3<XBSP>,2023-06-16,2023-06-20,12.1331948,11.2951931,short,1202733.862503264,7.8284022527150485,Take Profit (Short)
HYPE3<XBSP>,2023-06-09,2023-06-21,41.15707719,39.73848684,long,-446307.5576313529,-3.5432281338147917,Stop Loss
IFCM3<XBSP>,2023-06-20,2023-06-21,671.8624565,606.6330918,long,-1253639.0441980995,-9.798938923853273,Stop Loss
OIBR3<XBSP>,2023-06-21,2023-06-22,11.79049157,10.7006142,long,-1397875.5028460491,-9.334363098787444,Stop Loss
VIVA3<XBSP>,2023-06-16,2023-06-28,26.52546965,26.0497618,long,-360110.33038880676,-1.8915087826237311,Below VWAP
EMBJ3<XBSP>,2023-06-21,2023-06-29,17.81164672,18.41102911,short,-282998.0216185879,-2.3416979891082903,Stop Loss (Short)
NEOE3<XBSP>,2023-06-16,2023-06-30,17.91357219,19.30482932,long,930624.2884530202,7.658838626221397,Take Profit
ONCO3<XBSP>,2023-06-22,2023-06-30,9.33527558,9.720235398,short,-383092.6542169452,-3.092783507997495,Stop Loss (Short)
VAMO3<XBSP>,2023-06-28,2023-06-30,10.42153175,10.79595804,short,-350608.73462473415,-2.567142937856855,Stop Loss (Short)
PCAR3<XBSP>,2023-06-29,2023-07-04,7.562753029,8.428369339,long,1498533.0476615354,11.334448676604937,Take Profit
TEND3<XBSP>,2023-06-30,2023-07-05,11.15581709,12.14528957,long,1029237.066897802,8.760804481659113,Take Profit
ARML3<XBSP>,2023-07-05,2023-07-06,13.58343102,13.26307507,long,-305278.69970457815,-2.4559757748507045,Below VWAP
CSNA3<XBSP>,2023-06-30,2023-07-07,10.45218529,10.96057682,short,-568288.6574745066,-3.825716406006658,Stop Loss (Short)
PCAR3<XBSP>,2023-07-04,2023-07-07,8.428369339,9.169734505,long,1072290.1981990263,8.687381421229992,Take Profit
CURY3<XBSP>,2023-06-30,2023-07-11,13.12267339,12.68116288,long,-637077.0252512209,-3.4610249823920416,Stop Loss
SAPR4<XBSP>,2023-06-13,2023-07-12,3.605007072,3.690352646,long,276190.5041543115,2.265152505642028,Below VWAP
ODPV3<XBSP>,2023-07-07,2023-07-12,10.56514913,10.18694145,long,-571715.7154695578,-3.6760905114201097,Stop Loss
TTEN3<XBSP>,2023-07-11,2023-07-14,12.66011745,12.55282831,long,-127836.28097510897,-0.9465111875559826,Below VWAP
CASH3<XBSP>,2023-07-12,2023-07-14,3.014277548,3.39476139,short,-1513486.3699858617,-11.507644454282648,Stop Loss (Short)
HBSA3<XBSP>,2023-07-07,2023-07-17,3.211944947,3.418561289,long,786925.6428043228,6.3264221277184545,Take Profit
VULC3<XBSP>,2023-07-06,2023-07-19,10.75358629,10.69728479,long,-77050.65272781998,-0.6229372823660038,Below VWAP
CASH3<XBSP>,2023-07-14,2023-07-19,3.39476139,3.221429862,long,-817185.3664862812,-5.200652398439997,Stop Loss
LWSA3<XBSP>,2023-07-17,2023-07-20,7.433536308,6.822161912,short,1168183.3740857951,9.13321097004526,Take Profit (Short)
ECOR3<XBSP>,2023-07-19,2023-07-21,7.013466023,7.464463182,long,786973.0833614431,6.324122072733052,Take Profit
WEGE3<XBSP>,2023-07-19,2023-07-24,36.30716336,39.93278248,long,1536605.9845093247,9.87608476832984,Take Profit
OIBR3<XBSP>,2023-07-20,2023-07-24,10.60153444,10.20521539,long,-479822.4417453483,-3.8344833256951665,Stop Loss
SRNA3<XBSP>,2023-07-21,2023-07-24,10.5,10.93,short,-391373.7749999985,-3.0645921735030526,Stop Loss (Short)
CBAV3<XBSP>,2023-07-14,2023-07-25,4.644781444,5.014366204,short,-873436.5787531156,-6.888108164371709,Stop Loss (Short)
MDIA3<XBSP>,2023-07-24,2023-07-26,38.66646678,39.99979322,short,-452200.44868272543,-2.4240355052330442,Stop Loss (Short)
ITSA4<XBSP>,2023-07-25,2023-07-27,7.324479125,7.199163114,long,-216282.52207390405,-1.809111335857035,Below VWAP
WEGE3<XBSP>,2023-07-24,2023-07-31,39.93278248,38.37546164,long,-470458.2764725052,-3.9958597057809833,Stop Loss
DIRR3<XBSP>,2023-07-12,2023-08-01,5.500639936,5.882934411,long,1115269.8116429243,6.8431568331316805,Take Profit
PORT3<XBSP>,2023-07-31,2023-08-01,11.59105659,11.4509834,long,-165078.3425439,-1.3071520502010132,Below VWAP
NEOE3<XBSP>,2023-07-26,2023-08-03,19.02722667,17.80859788,short,983573.5522970632,7.331344527926033,Take Profit (Short)
IRBR3<XBSP>,2023-07-24,2023-08-07,42.15,39.5,short,1074054.4059999995,7.214920780334258,Take Profit (Short)
GMAT3<XBSP>,2023-08-01,2023-08-07,7.404884955,7.499697823,short,-35949.970219573006,-0.2776334032715648,Above VWAP (Short)
BPAN4<XBSP>,2023-08-07,2023-08-10,8.365882322,8.563501589,short,-172928.47769085504,-1.3487175436084957,Above VWAP (Short)
ASAI3<XBSP>,2023-07-27,2023-08-14,13.25915268,12.91539687,long,-348630.10926649533,-2.6899026882283565,Below VWAP
VVEO3<XBSP>,2023-08-03,2023-08-15,20.2463032,18.36858263,short,1326830.5492504872,10.17266067986415,Take Profit (Short)
